athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
95568,jarosaw morawiecki,1964-03-11 00:00:00,siemianowice,lskie,pol,poland,170.0,80.0,unknown
95569,gilles morda,1946-04-04 00:00:00,longavesnes,somme,fra,france,187.0,82.0,20030927
95570,curdin morell,1963-07-09 00:00:00,unknown,unknown,unknown,switzerland,177.0,81.0,unknown
95571,julio csar moreschi,1963-09-22 00:00:00,san carlos de bariloche,ro negro,arg,argentina,181.0,78.0,unknown
95572,andrew morgan,1934-03-24 00:00:00,burtonontrent,england,gbr,great britain,178.0,70.0,unknown
95573,gene morgan,1944-09-16 00:00:00,mnchen munich,bayern,ger,united states,175.0,67.0,unknown
95574,jimmy morgan,1948-12-11 00:00:00,saranac lake,new york,usa,united states,176.0,70.0,19810208
95575,alois morgenstern,1954-06-13 00:00:00,spittal an der drau,krnten,aut,austria,176.0,75.0,unknown
95576,jim moriarty,1941-11-07 00:00:00,saint paul,minnesota,usa,united states,186.0,73.0,unknown
95577,jean morin,1901-05-28 00:00:00,unknown,unknown,unknown,france,176.0,70.0,19751225
95578,werner moring,1927-10-27 00:00:00,unknown,unknown,unknown,germany,176.0,70.0,19951127
95579,katsuji morishima,1942-10-22 00:00:00,unknown,unknown,unknown,japan,176.0,66.0,unknown
95580,hozumi moriyama,1967-11-05 00:00:00,unknown,unknown,unknown,japan,177.0,76.0,unknown
95581,ingolf mork,1947-06-04 00:00:00,molde,mre og romsdal,nor,norway,177.0,69.0,20120201
95582,emiliano morlans,1952-09-11 00:00:00,panticosa,huesca,esp,spain,176.0,70.0,unknown
95583,rick morocco,1963-02-14 00:00:00,niagara falls,ontario,can,italy,178.0,78.0,unknown
95584,doru moroan,1953-05-13 00:00:00,galai,galai,rou,romania,185.0,84.0,unknown
95585,toni morosani,1907-06-20 00:00:00,davos,graubnden,sui,switzerland,176.0,70.0,19930608
95586,giancarlo morpurgo,unknown,unknown,unknown,unknown,italy,176.0,70.0,unknown
95587,ken morris,1942-08-19 00:00:00,new york,new york,usa,united states,183.0,79.0,unknown
95588,gordon morrison,1931-05-15 00:00:00,dafoe,saskatchewan,can,canada,176.0,70.0,19720708
95589,jacques morisson,1907-03-28 00:00:00,paris xvie,paris,fra,france,176.0,70.0,19640208
95590,jack morrison,1945-04-06 00:00:00,minneapolis,minnesota,usa,united states,180.0,84.0,unknown
95591,ken morrow,1956-10-17 00:00:00,flint,michigan,usa,united states,193.0,95.0,unknown
95592,terry morse,1946-09-15 00:00:00,bridgeport,connecticut,usa,united states,188.0,77.0,unknown
95593,pavel morshchinin,1933-01-22 00:00:00,krasnoye selo,leningrad,rus,soviet union,176.0,70.0,20090530
95594,ren mortiaux,1881-01-01 00:00:00,unknown,unknown,unknown,belgium,176.0,70.0,unknown
95595,john morton,1946-04-03 00:00:00,keene,new hampshire,usa,united states,178.0,66.0,unknown
95596,giacomo mosele,1925-07-30 00:00:00,asiago,vicenza,ita,italy,176.0,70.0,unknown
95597,alois moser,1930-06-17 00:00:00,latschach am faaker see,krnten,aut,canada,176.0,70.0,20130101
95598,christian moser,1972-12-20 00:00:00,villach,krnten,aut,austria,181.0,67.0,unknown
95599,fritz moser,1901-02-11 00:00:00,unknown,unknown,unknown,austria,176.0,70.0,19780910
95600,max moser,1949-09-24 00:00:00,klagenfurt,krnten,aut,austria,176.0,70.0,unknown
95601,petsch moser,1960-01-26 00:00:00,unknown,unknown,unknown,switzerland,190.0,82.0,unknown
