athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
90562,erick fornaris,19790102,la habana havana,ciudad de la habana,cub,cuba,170.0,69.0,nat
90563,jos antonio guerra,19790809,santiago de cuba,santiago de cuba,cub,cuba,166.0,60.0,nat
90564,yolanda ortiz,19781026,na,na,na,cuba,160.0,55.0,nat
90565,yoendris salazar,19770807,na,na,na,cuba,165.0,60.0,nat
90566,jaroslav makohin,19760606,ravaruska,lviv,ukr,czechia,164.0,61.0,nat
90567,leire santos,19790103,madrid,madrid,esp,spain,156.0,52.0,nat
90568,rubn santos,19760925,madrid,madrid,esp,spain,167.0,62.0,nat
90569,jukka piekkanen,19751122,helsinki,uusimaa,fin,finland,169.0,65.0,nat
90570,joona puhakka,19820623,kerava,uusimaa,fin,finland,178.0,79.0,nat
90571,odile arbolessouchon,19750123,madrid,madrid,esp,france,170.0,55.0,nat
90572,gilles emptozlacte,19771215,paris,paris,fra,france,165.0,58.0,nat
90573,claire febvay,19820716,oullins,rhne,fra,france,171.0,64.0,nat
90574,sandra ponthus,19761129,villeurbanne,rhne,fra,france,162.0,58.0,nat
90575,sally freeman,19740220,plymouth,england,gbr,great britain,160.0,54.0,nat
90576,mark shipman,19730103,leeds,england,gbr,great britain,175.0,80.0,nat
90577,jane smith,19751125,sheffield,england,gbr,great britain,174.0,61.0,nat
90578,karen smith,19760516,na,na,na,great britain,157.0,51.0,nat
90579,peter waterfield,19810312,walthamstow,england,gbr,great britain,167.0,65.0,nat
90580,nana nebieridze,19750621,na,na,na,georgia,170.0,52.0,nat
90581,stefan ahrens,19760917,rostock,mecklenburgvorpommern,ger,germany,178.0,70.0,nat
90582,ditte kotzian,19790309,ostberlin east berlin,berlin,ger,germany,178.0,62.0,nat
90583,drte lindner,19740322,rostock,mecklenburgvorpommern,ger,germany,165.0,58.0,nat
90584,heiko meyer,19761202,dresden,sachsen,ger,germany,160.0,57.0,nat
90585,conny schmalfu,19751029,na,na,na,germany,163.0,58.0,nat
90586,thomas bimis,19750611,athina athens,attiki,gre,greece,169.0,69.0,nat
90587,maria konstantatou,19810203,na,na,na,greece,162.0,60.0,nat
90588,sotiria koutsopetrou,19790819,athina athens,attiki,gre,greece,163.0,47.0,nat
90589,evtychia pappapapavasilopoulou,19811003,new york,new york,usa,greece,158.0,51.0,nat
90590,yu yuet,19760316,na,na,na,hong kong china,173.0,65.0,nat
90591,nra barta,19840402,budapest,budapest,hun,hungary,170.0,60.0,nat
90592,andrs hajnal,19820221,budapest,budapest,hun,hungary,172.0,62.0,nat
90593,shenny ratna amelia,19831028,jakarta,daerah khusus ibukota jakarta,ina,indonesia,152.0,46.0,nat
90594,eka purnama indah,19830527,na,na,na,indonesia,152.0,49.0,nat
90595,muhammad nasrullah,19820221,na,na,na,indonesia,160.0,51.0,nat
90596,tania cagnotto,19850515,bolzano,bolzanobozen,ita,italy,160.0,54.0,nat
90597,maria marconi,19840828,roma,roma,ita,italy,159.0,55.0,nat
90598,nicola marconi,19781112,roma,roma,ita,italy,168.0,68.0,nat
90599,massimiliano mazzucchi,19801002,roma,roma,ita,italy,170.0,62.0,nat
90600,donald miranda,19721019,torino,torino,ita,italy,180.0,75.0,nat
90601,aleksey gurman,19780814,na,na,na,kazakhstan,174.0,67.0,nat
90602,nataliya popova,19800526,almaty,almaty,kaz,kazakhstan,160.0,48.0,nat
90603,alisher seitov,19790505,almaty,almaty,kaz,kazakhstan,174.0,65.0,nat
90604,jo daedon,19840108,na,na,na,republic of korea,163.0,55.0,nat
90605,choi hyejin,19820921,na,na,na,republic of korea,161.0,56.0,nat
90606,yu changjun,19810720,na,na,na,republic of korea,170.0,60.0,nat
90607,mohamed azreen bahari,19840613,na,na,na,malaysia,168.0,55.0,nat
90608,leong mun yee,19841204,ipoh,perak,mas,malaysia,163.0,55.0,nat
90609,yeoh ken nee,19830430,kuala lumpur,kuala lumpur,mas,malaysia,170.0,58.0,nat
90610,azul almazn,19811024,na,na,na,mexico,170.0,53.0,nat
90611,jashia luna,19791228,guadalajara,jalisco,mex,mexico,162.0,56.0,nat
90612,francisco prez,19760701,len,guanajuato,mex,mexico,163.0,53.0,nat
90613,eduardo rueda,19721023,ciudad de mxico mexico city,ciudad de mxico,mex,mexico,167.0,56.0,nat
90614,abel snchez,19711031,lansing,michigan,usa,peru,168.0,64.0,nat
90615,zardo domenios,19840426,panacan,davao city,phi,philippines,164.0,55.0,nat
